지방청,해경서,발생일자,발생요일,사고유형_세분류,장소유형,발생지역,사고원인1차,위험구역지정
제주 지방청,서귀포,2020-05-28,금요일,고립익수,무인도서,제주특별자치도,조석 미인지,없음
중부 지방청,보령,2020-05-29,토요일,고립,갯벌,충청남도,부주의,사망사고 발생구역
남해 지방청,울산,2020-05-29,토요일,추락익수,테트라포드,부산광역시,부주의,연안사고 위험구역
서해 지방청,여수,2020-05-30,일요일,기타익수,해양,전라남도,부주의,사망사고 발생구역
서해 지방청,여수,2020-05-31,월요일,추락익수,해안가,전라남도,운전 부주의,없음
서해 지방청,목포,2020-05-31,월요일,기타익수,해안가,전라남도,음주,연안사고 다발구역
중부 지방청,보령,2020-06-01,화요일,추락,방파제,충청남도,부주의,없음
제주 지방청,서귀포,2020-06-02,수요일,고립익수,갯바위,제주특별자치도,조석 미인지,연안사고 위험구역
남해 지방청,통영,2020-06-03,목요일,기타,해안가,경상남도,운전 부주의,없음
남해 지방청,부산,2020-06-04,금요일,기타익수,해양,부산광역시,음주,없음
남해 지방청,통영,2020-06-04,금요일,추락익수,항포구,경상남도,부주의,없음
중부 지방청,태안,2020-06-04,금요일,수중레저익수,해양,충청남도,부주의,사망사고 발생구역
중부 지방청,인천,2020-06-05,토요일,고립익수,갯벌,인천광역시,부주의,연안사고 다발구역
서해 지방청,여수,2020-06-05,토요일,추락익수,해양,전라남도,부주의,연안사고 다발구역
서해 지방청,여수,2020-06-06,일요일,추락익수,갯바위,전라남도,낚시,없음
동해 지방청,속초,2020-06-06,일요일,수상레저익수,해안가,강원도,부주의,없음
중부 지방청,태안,2020-06-06,일요일,고립,갯바위,충청남도,조석 미인지,사망사고 발생구역
중부 지방청,인천,2020-06-06,일요일,고립,무인도서,인천광역시,조석 미인지,없음
중부 지방청,태안,2020-06-06,일요일,수중레저익수,해안가,충청남도,부주의,사망사고 발생구역
동해 지방청,동해,2020-06-06,일요일,고립,항포구,강원도,질병,연안사고 위험구역
중부 지방청,인천,2020-06-06,일요일,고립,갯바위,인천광역시,조석 미인지,사망사고 발생구역
중부 지방청,태안,2020-06-07,월요일,고립,갯벌,충청남도,부주의,없음
중부 지방청,인천,2020-06-07,월요일,기타익수,항포구,인천광역시,부주의,없음
중부 지방청,인천,2020-06-07,월요일,기타익수,기타,인천광역시,부주의,없음
서해 지방청,군산,2020-06-07,월요일,고립,갯바위,전라북도,조석 미인지,연안사고 다발구역
중부 지방청,태안,2020-06-08,화요일,고립,갯벌,충청남도,부주의,없음
중부 지방청,인천,2020-06-08,화요일,고립익수,갯벌,인천광역시,부주의,사망사고 발생구역
중부 지방청,평택,2020-06-10,목요일,고립익수,해안가,안산시,안전미준수,연안사고 다발구역
중부 지방청,인천,2020-06-10,목요일,고립,갯벌,인천,부주의,없음
중부 지방청,태안,2020-06-11,금요일,기타,갯벌,충청남도,부주의,없음
중부 지방청,인천,2020-06-13,일요일,추락익수,항포구,인천광역시,부주의,연안사고 다발구역
남해 지방청,창원,2020-06-14,월요일,추락익수,항포구,경상남도,음주,사망사고 발생구역
남해 지방청,통영,2020-06-14,월요일,추락익수,항포구,경상남도,음주,사망사고 발생구역
제주 지방청,서귀포,2020-06-14,월요일,추락익수,항포구,제주특별자치도,부주의,없음
서해 지방청,여수,2020-06-15,화요일,추락,갯바위,전라남도,부주의,없음
제주 지방청,제주,2020-06-16,수요일,기타익수,항포구,제주특별자치도,부주의,없음
중부 지방청,태안,2020-06-16,수요일,고립,갯바위,충청남도,낚시,없음
서해 지방청,목포,2020-06-17,목요일,추락익수,해안가,전라남도,부주의,없음
중부 지방청,인천,2020-06-17,목요일,기타익수,기타,인천광역시,음주,없음
중부 지방청,인천,2020-06-18,금요일,기타익수,항포구,인천광역시,부주의,연안사고 다발구역
중부 지방청,인천,2020-06-20,일요일,기타익수,항포구,인천광역시,부주의,사망사고 발생구역
중부 지방청,인천,2020-06-20,일요일,고립,갯벌,인천시,부주의,없음
중부 지방청,인천,2020-06-20,일요일,고립,무인도서,인천시,부주의,없음
중부 지방청,인천,2020-06-20,일요일,기타익수,해안가,인천광역시,부주의,없음
제주 지방청,서귀포,2020-06-20,일요일,수중레저익수,해양,제주특별자치도,조석 미인지,없음
중부 지방청,인천,2020-06-20,일요일,고립익수,해안가,인천광역시,조석 미인지,없음
중부 지방청,태안,2020-06-21,월요일,추락익수,항포구,충청남도,음주,사망사고 발생구역
중부 지방청,평택,2020-06-21,월요일,추락익수,항포구,충청남도,부주의,연안사고 다발구역
중부 지방청,인천,2020-06-21,월요일,기타익수,해안가,인천광역시,음주,사망사고 발생구역
중부 지방청,평택,2020-06-21,월요일,고립,항포구,충청남도,음주,연안사고 다발구역
남해 지방청,부산,2020-06-21,월요일,추락익수,항포구,부산광역시,부주의,없음
서해 지방청,목포,2020-06-22,화요일,기타,해안가,전남,운전 부주의,없음
중부 지방청,인천,2020-06-22,화요일,기타익수,해안가,인천광역시,음주,사망사고 발생구역
동해 지방청,울진,2020-06-23,수요일,추락익수,항포구,경상북도,음주,없음
중부 지방청,인천,2020-06-25,금요일,고립,갯바위,인천광역시,부주의,사망사고 발생구역
중부 지방청,보령,2020-06-27,일요일,고립,갯바위,충청남도,안전미준수,없음
중부 지방청,태안,2020-06-27,일요일,고립,갯바위,충청남도,낚시,없음
중부 지방청,태안,2020-06-27,일요일,고립,갯바위,충청남도,낚시,사망사고 발생구역
제주 지방청,제주,2020-06-27,일요일,추락익수,항포구,제주특별자치도,부주의,없음
동해 지방청,속초,2020-06-27,일요일,수상레저익수,해안가,강원도,기상불량,없음
중부 지방청,평택,2020-06-28,월요일,기타,갯벌,화성시,기상불량,없음
서해 지방청,부안,2020-06-28,월요일,고립,갯바위,전라북도,조석 미인지,사망사고 발생구역
동해 지방청,포항,2020-06-29,화요일,추락익수,항포구,경상북도,부주의,연안사고 다발구역
동해 지방청,동해,2020-06-29,화요일,표류,해양,강원도,부주의,없음
동해 지방청,동해,2020-07-01,목요일,기타익수,해안가,강원도,기상불량,없음
중부 지방청,인천,2020-07-01,목요일,추락익수,항포구,인천광역시,부주의,사망사고 발생구역
서해 지방청,여수,2020-07-02,금요일,추락,갯바위,전라남도,부주의,없음
제주 지방청,제주,2020-07-03,토요일,고립,갯바위,제주특별자치도,해양장애물,없음
제주 지방청,제주,2020-07-04,일요일,고립,갯바위,제주특별자치도,조석 미인지,없음
중부 지방청,보령,2020-07-04,일요일,고립,갯벌,충청남도,부주의,사망사고 발생구역
서해 지방청,완도,2020-07-04,일요일,고립,갯바위,전라남도,부주의,없음
중부 지방청,인천,2020-07-04,일요일,고립,무인도서,인천광역시,조석 미인지,사망사고 발생구역
중부 지방청,인천,2020-07-05,월요일,고립,해안가,인천광역시,조석 미인지,없음
중부 지방청,인천,2020-07-05,월요일,고립,무인도서,인천광역시,조석 미인지,없음
중부 지방청,인천,2020-07-05,월요일,고립,해안가,인천광역시,조석 미인지,연안사고 위험구역
서해 지방청,여수,2020-07-07,수요일,고립,갯바위,전라남도,조석 미인지,없음
남해 지방청,통영,2020-07-07,수요일,추락,갯바위,경상남도,부주의,없음
동해 지방청,포항,2020-07-08,목요일,추락익수,테트라포드,경상북도,부주의,연안사고 다발구역
제주 지방청,제주,2020-07-08,목요일,기타익수,항포구,제주특별자치도,부주의,연안사고 위험구역
